Module,KW.statistic,KW.parameter,KW.pval,KW.padj,DT.Contrast,DT.diff,DT.lwr.ci,DT.upr.ci,DT.pval,Sig,PVE
M51,3.55965909090909,4,0.468865217664518,1,HET.Syngap1.Cortex-WT.Cortex,-0.0813436141196259,-0.352925359625751,0.190238131386499,0.882553732729754,FALSE,0.786488380677418
M51,3.55965909090909,4,0.468865217664518,1,KO.Ube3a.Cortex-WT.Cortex,-0.0870241660238097,-0.358605911529935,0.184557579482316,0.855847437636877,FALSE,0.786488380677418
M52,7.32173295454545,4,0.119831929302123,1,KO.Shank2.Cortex-WT.Cortex,-0.131392446639587,-0.391321064373197,0.128536171094023,0.545308070078226,FALSE,0.774961228605627
M52,7.32173295454545,4,0.119831929302123,1,KO.Shank3.Cortex-WT.Cortex,0.14871732278426,-0.11121129494935,0.40864594051787,0.430805264238231,FALSE,0.774961228605627
M52,7.32173295454545,4,0.119831929302123,1,HET.Syngap1.Cortex-WT.Cortex,-0.0498554668527471,-0.309784084586357,0.210073150880863,0.973884668345135,FALSE,0.774961228605627
M52,7.32173295454545,4,0.119831929302123,1,KO.Ube3a.Cortex-WT.Cortex,-0.0342518679087981,-0.294180485642408,0.225676749824812,0.993517806694522,FALSE,0.774961228605627
M53,10.1647727272727,4,0.0377417167711473,1,KO.Shank2.Cortex-WT.Cortex,-0.0380516685038018,-0.280824073287674,0.20472073628007,0.987539349598281,FALSE,0.866791966286202
M53,10.1647727272727,4,0.0377417167711473,1,KO.Shank3.Cortex-WT.Cortex,0.20459737635105,-0.038175028432822,0.447369781134922,0.122025146458074,FALSE,0.866791966286202
M53,10.1647727272727,4,0.0377417167711473,1,HET.Syngap1.Cortex-WT.Cortex,-0.145102466344583,-0.387874871128455,0.0976699384392897,0.390090704012987,FALSE,0.866791966286202
M53,10.1647727272727,4,0.0377417167711473,1,KO.Ube3a.Cortex-WT.Cortex,-0.0700301899361265,-0.312802594719999,0.172742214847746,0.895614818961236,FALSE,0.866791966286202
M54,11.6569602272727,4,0.0200931162888957,1,KO.Shank2.Cortex-WT.Cortex,-0.0783505105517157,-0.305794737533993,0.149093716430561,0.821897971521877,FALSE,0.887046161443892
M54,11.6569602272727,4,0.0200931162888957,1,KO.Shank3.Cortex-WT.Cortex,0.238575647658266,0.0111314206759887,0.466019874640543,0.0370044835688809,FALSE,0.887046161443892
M54,11.6569602272727,4,0.0200931162888957,1,HET.Syngap1.Cortex-WT.Cortex,-0.162771886640816,-0.390216113623093,0.0646723403414612,0.232754772551093,FALSE,0.887046161443892
M54,11.6569602272727,4,0.0200931162888957,1,KO.Ube3a.Cortex-WT.Cortex,0.0418445588217986,-0.185599668160479,0.269288785804076,0.977548965112887,FALSE,0.887046161443892
M55,7.83806818181819,4,0.0976933387742436,1,KO.Shank2.Cortex-WT.Cortex,-0.113996486965217,-0.365905063202364,0.13791208927193,0.640561463111492,FALSE,0.904590043024904
M55,7.83806818181819,4,0.0976933387742436,1,KO.Shank3.Cortex-WT.Cortex,0.154566970576451,-0.0973416056606966,0.406475546813598,0.365794808413428,FALSE,0.904590043024904
M55,7.83806818181819,4,0.0976933387742436,1,HET.Syngap1.Cortex-WT.Cortex,-0.139630667760537,-0.391539243997685,0.11227790847661,0.460489082969906,FALSE,0.904590043024904
